Rank,Major,Degree,Early Career Pay(in $),Mid-Career Pay(in $),% High Meaning
76,Industrial Hygiene,Bachelors,65100,132700,54%
78,Engineering Mechanics,Bachelors,82800,131900,-
79,Business & Economics,Bachelors,66500,131700,44%
80,Astrophysics,Bachelors,78600,131200,61%
81,Electronics Engineering,Bachelors,77700,130900,65%
81,Telecommunications Engineering,Bachelors,78000,130900,50%
83,International Business & Finance,Bachelors,69000,130800,30%
84,International Economics,Bachelors,66200,130600,54%
85,Business Analysis,Bachelors,71000,130300,47%
85,Management Science,Bachelors,73000,130300,43%
85,Mechanical Engineering (ME),Bachelors,79600,130300,49%
88,Economics,Bachelors,70500,130200,41%
89,Ceramic Engineering,Bachelors,76400,129900,46%
90,Management Information Systems (MIS),Bachelors,73900,129500,42%
91,Industrial Distribution,Bachelors,71400,129200,48%
92,Structural Engineering (SE),Bachelors,76200,128900,67%
93,Accounting & Taxation,Bachelors,61900,128600,-
94,Integrated Science & Technology,Bachelors,71600,128400,55%
95,Automotive Engineering,Bachelors,75700,128300,50%
96,Mathematics & Statistics,Bachelors,71800,128100,43%
97,Packaging Science,Bachelors,78600,127600,41%
98,Construction Project Management,Bachelors,69400,127400,64%
99,Plastics Engineering,Bachelors,79200,127200,58%
100,Information & Decision Sciences,Bachelors,73200,126800,36%
101,Applied Physics,Bachelors,75800,126500,53%
102,Building Construction (BC),Bachelors,73200,125900,51%
102,Petroleum Land Management,Bachelors,66600,125900,-
104,Industrial Engineering & Management,Bachelors,74800,125700,54%
105,Accounting & Economics,Bachelors,74500,125400,48%
105,Psychobiology,Bachelors,58600,125400,69%
107,Finance & Economics,Bachelors,70300,124800,42%
108,Medicine,Bachelors,88700,124700,94%
109,Asian Studies,Bachelors,53100,123800,43%
110,Marketing & International Business,Bachelors,59600,123500,36%
111,Government,Bachelors,63500,123400,45%
112,Business Computer Information Systems (BCIS),Bachelors,74200,123300,40%
112,Finance & Real Estate,Bachelors,73500,123300,42%
114,Biochemistry & Molecular Biology,Bachelors,61700,123100,70%
114,Environmental Health & Safety Management,Bachelors,67500,123100,61%
114,Financial Economics,Bachelors,70500,123100,36%
117,Business Economics,Bachelors,66500,122800,45%
117,Nuclear Engineering Technology (NET),Bachelors,92500,122800,54%
119,Mathematics,Bachelors,72300,122700,44%
120,Civil Engineering (CE),Bachelors,73400,122600,65%
121,Business Information Systems,Bachelors,73800,122200,45%
121,Information Systems Management,Bachelors,69500,122200,48%
121,Polymer Science & Engineering,Bachelors,82900,122200,-
124,Information Security & Assurance,Bachelors,70000,122000,42%
124,Applied Economics,Bachelors,69200,122000,41%
126,International Management,Bachelors,63100,121900,42%
126,Political Communication,Bachelors,56000,121900,51%
126,Economics & Political Science,Bachelors,64200,121900,46%
129,Accounting & Computer Systems,Bachelors,75400,121800,-
129,Civil & Environmental Engineering,Bachelors,73500,121800,66%
129,Construction Management,Bachelors,71800,121800,59%
129,Construction Science,Bachelors,77500,121800,67%
133,Control Engineering,Bachelors,77700,121700,59%
134,Russian Studies,Bachelors,56500,121600,41%
135,Cybersecurity,Bachelors,72600,121500,56%
136,Robotics & Automation,Bachelors,72700,121200,69%
137,Computer Management Information Systems (CMIS),Bachelors,63900,121100,50%
138,Aeronautical Science,Bachelors,64200,121000,62%
138,Manufacturing Engineering,Bachelors,77500,121000,50%
140,Information Systems (IS),Bachelors,73000,120600,45%
141,Engineering Management,Bachelors,77400,120500,53%
142,Computing & Information Systems (CIS),Bachelors,68900,120000,46%
143,Mechanical,Bachelors,79800,119900,41%
144,Business Logistics & Transportation,Bachelors,64700,119800,42%
145,Biosystems Engineering,Bachelors,72600,119500,69%
146,Agricultural Economics,Bachelors,61700,119400,57%
147,Data Processing,Bachelors,73700,119300,42%
147,Food Marketing,Bachelors,65000,119300,29%
147,Geophysics,Bachelors,62700,119300,42%
150,Management & Finance,Bachelors,64100,118800,61%
151,Business Finance,Bachelors,65200,118600,44%
151,Construction Engineering,Bachelors,75700,118600,60%
151,Organic Chemistry,Bachelors,50600,118600,-
154,Real Estate,Bachelors,69400,118500,42%
155,Finance,Bachelors,68500,118400,42%
155,Plastics Engineering Technology,Bachelors,73600,118400,34%
157,European Studies,Bachelors,60900,118100,41%
157,Safety Science,Bachelors,70000,118100,68%
159,Computer Science & Information Technology,Bachelors,73500,118000,48%
160,Japanese Language,Bachelors,59900,117900,39%
161,Information Sciences and Technology,Bachelors,72900,117800,45%
161,International Business,Bachelors,63100,117800,40%
163,Architectural Engineering,Bachelors,74600,117700,57%
164,International Marketing,Bachelors,66700,117600,25%
164,Molecular Biology,Bachelors,61700,117600,66%
166,Building Construction Management,Bachelors,70500,117500,67%
167,Business Operations,Bachelors,71300,117400,-
168,Computer Information Systems (CIS),Bachelors,69400,117300,47%
168,Electrical Engineering Technology (EET),Bachelors,74000,117300,48%
170,Government & International Politics (GVIP),Bachelors,58100,117200,44%
171,Information Security,Bachelors,75000,117100,40%
172,East Asian Studies,Bachelors,57500,116900,49%
173,Strategic Management,Bachelors,74900,116700,48%
174,Labor Relations,Bachelors,55700,116600,35%
175,Entrepreneurship & Leadership,Bachelors,64300,116400,43%
176,Agricultural Engineering (AE),Bachelors,71500,116300,62%
177,Information Technology Management,Bachelors,71900,116100,48%
177,International Relations,Bachelors,60500,116100,49%
179,Financial Planning,Bachelors,61200,115800,59%
180,Computer Engineering Technology (CET),Bachelors,71100,115700,45%
180,Corporate Finance,Bachelors,72400,115700,40%
182,Engineering Science,Bachelors,77500,115600,47%
183,European History,Bachelors,59400,115500,41%
184,Rhetoric,Bachelors,59300,114900,41%
185,Network Engineering,Bachelors,69400,114600,51%
186,Mechanical Design,Bachelors,68400,114500,50%
187,Environmental Engineering,Bachelors,70400,114400,62%
188,Chinese Language,Bachelors,61000,114000,42%
188,Robotics,Bachelors,87900,114000,57%
190,Economics & Management,Bachelors,61500,113800,47%
191,Computing,Bachelors,71300,113600,55%
191,Product Design,Bachelors,70000,113600,38%
193,Mechanical Engineering Technology (MET),Bachelors,72300,113200,48%
194,Industrial & Labor Relations,Bachelors,77000,113000,44%
195,Food Science & Technology,Bachelors,59800,112800,49%
196,Accounting & Auditing,Bachelors,65400,112700,44%
197,Biochemistry (BCH),Bachelors,57100,112600,64%
198,Accounting & Finance,Bachelors,66900,112500,46%
198,Agricultural Economics & Business,Bachelors,62100,112500,56%
198,Engineering Technology (ET),Bachelors,65800,112500,49%
198,Biotechnology,Bachelors,61100,112500,62%
202,Dairy Science,Bachelors,57700,112200,67%
202,Operations Management (OM),Bachelors,69700,112200,44%
202,Web Development,Bachelors,61600,112200,43%
205,Industrial Management,Bachelors,65200,111900,51%
205,Information Assurance,Bachelors,61600,111900,60%
205,Telecommunication & Information Management,Bachelors,66800,111900,42%
208,Environmental Policy Analysis & Planning,Bachelors,58200,111600,67%
208,Pharmaceutical Sciences (PS),Bachelors,60900,111600,69%
210,Aviation,Bachelors,65000,111400,52%
210,Business & Marketing,Bachelors,59000,111400,46%
210,Computer Networking Systems,Bachelors,64000,111400,48%
210,Organizational Behavior,Bachelors,63500,111400,56%
214,Consumer Economics,Bachelors,60600,111300,46%
214,Information Technology (IT),Bachelors,67800,111300,46%
214,Sales & Business Marketing,Bachelors,63900,111300,55%
217,Aviation Management,Bachelors,58000,111200,56%
217,Informatics,Bachelors,78700,111200,46%
219,Industrial Safety,Bachelors,59400,111100,82%
219,Structural Design & Construction Engineering Technology,Bachelors,77000,111100,48%
221,Computer Security,Bachelors,76500,110800,43%
221,Hotel Administration,Bachelors,76800,110800,37%
221,Software Applications & Programming,Bachelors,71400,110800,33%
224,Occupational Health and Safety,Bachelors,66800,110700,69%
225,Database Management,Bachelors,74500,110600,-
226,Business Technology Management,Bachelors,69600,110400,41%
226,Production Management,Bachelors,55800,110400,27%
228,Business & Finance,Bachelors,63600,109800,54%
229,Environmental Health & Safety,Bachelors,64800,109600,66%
229,Information Technology (IT) & Systems,Bachelors,70400,109600,47%
229,Telecommunications Management,Bachelors,60600,109600,46%
232,Electronics Engineering Technology (EET),Bachelors,72600,109300,51%
232,Marketing & Management,Bachelors,57700,109300,47%
232,Operations & Supply Chain Management,Bachelors,69300,109300,45%
232,Physical Therapy,Bachelors,54900,109300,88%
232,Politics,Bachelors,59500,109300,51%
237,Physics & Astronomy,Bachelors,63700,109200,33%
238,Agribusiness,Bachelors,57600,109000,53%
238,Chemistry,Bachelors,58500,109000,56%
238,Finance & Banking,Bachelors,62600,109000,47%
241,Aviation Flight Science (AFL),Bachelors,61500,108800,49%
242,Construction Science & Management,Bachelors,73800,108600,75%
243,Marketing,Bachelors,58200,108400,41%
244,Cell Biology,Bachelors,56800,108100,55%
244,Civil Engineering Technology (CET),Bachelors,66000,108100,61%
244,Genetics,Bachelors,61200,108100,72%
247,Government & Politics,Bachelors,59500,107800,51%
248,Biopsychology,Bachelors,60300,107500,74%
248,Applied Networking & Systems Administration,Bachelors,67200,107500,44%
250,Industrial Technology (IT),Bachelors,71700,107400,50%
251,Geological Engineering,Bachelors,68400,107200,51%
251,Real Estate Development,Bachelors,66600,107200,-
253,Accounts,Bachelors,67100,107100,44%
253,Electromechanical Engineering,Bachelors,79100,107100,56%
255,Risk Management,Bachelors,68500,107000,37%
255,Social Ecology,Bachelors,55400,107000,-
257,Microbiology & Immunology,Bachelors,63500,106800,74%
258,French Literature,Bachelors,53900,106600,50%
259,City & Regional Planning,Bachelors,58600,106500,70%
259,Construction Technology,Bachelors,71500,106500,-
259,Italian Language,Bachelors,56600,106500,40%
259,Marketing Communication,Bachelors,52200,106500,42%
263,Business Management & Marketing,Bachelors,56900,106400,45%
263,Industrial Design (ID),Bachelors,62900,106400,40%
265,Marketing & Communications,Bachelors,56400,106300,46%
266,Political Science,Bachelors,57700,106200,47%
267,Advertising Design,Bachelors,58000,106100,32%
267,Manufacturing Management,Bachelors,72300,106100,48%
269,Computer Information Systems,Bachelors,65100,106000,45%
269,Network Security,Bachelors,68000,106000,52%
269,Risk Management & Insurance,Bachelors,67400,106000,46%
272,Comparative Literature,Bachelors,53600,105800,49%
272,Sales & Marketing,Bachelors,61100,105800,49%
274,Welding Engineering Technology,Bachelors,82700,105600,42%
275,Philosophy,Bachelors,60500,105500,42%
301,Applied Computer Science,Bachelors,74000,103000,42%
302,Geology,Bachelors,56000,102800,55%
302,Meteorology,Bachelors,53100,102800,55%
304,Electronic Systems Technology (EST),Bachelors,86900,102600,44%
304,Environmental Design,Bachelors,54000,102600,53%
304,Radiation Therapy,Bachelors,76100,102600,91%
307,Latin American Studies,Bachelors,53200,102500,61%
307,Logistics,Bachelors,66400,102500,40%
307,Transportation & Logistics Management,Bachelors,65800,102500,49%
310,Applied Technology,Bachelors,65500,102300,49%
311,Environmental Health,Bachelors,56900,102200,69%
312,Design,Bachelors,60500,102000,39%
313,Computer Graphics Technology (CGT),Bachelors,55100,101800,44%
313,Crop Science,Bachelors,54700,101800,56%
315,Industrial Psychology,Bachelors,56400,101500,50%
316,Entrepreneurship,Bachelors,61500,101300,47%
316,German Studies,Bachelors,57500,101300,46%
316,Neuroscience,Bachelors,58900,101300,60%
319,Computer & Network Administration,Bachelors,64500,101200,46%
319,Financial Accounting,Bachelors,63500,101200,49%
319,Food Science,Bachelors,60400,101200,48%
319,Microbiology,Bachelors,54800,101200,69%
323,Digital Media Design,Bachelors,52200,101000,28%
323,Agronomy,Bachelors,55200,101000,65%
325,Accounting & Management,Bachelors,62600,100600,50%
325,Aeronautics,Bachelors,69600,100600,62%
325,Business Communication,Bachelors,57900,100600,47%
328,Urban & Regional Planning,Bachelors,59600,100500,60%
329,Global Business Management,Bachelors,63800,100100,53%
329,Police Science,Bachelors,61500,100100,-
331,Math & Science,Bachelors,63900,100000,64%
332,Corporate Communications,Bachelors,54700,99900,45%
333,Political Science/Public Law,Bachelors,59200,99800,69%
334,Accounting Information Systems,Bachelors,70900,99700,56%
334,Anthropology & English,Bachelors,53800,99700,-
334,Organizational Psychology,Bachelors,56400,99700,51%
337,Advertising & Marketing Communications,Bachelors,54900,99200,38%
337,Entomology,Bachelors,49900,99200,-
339,Product Design Engineering,Bachelors,73500,99100,41%
340,Personal Financial Planning,Bachelors,60400,99000,60%
341,Biological Sciences,Bachelors,56400,98900,68%
341,Pre-law,Bachelors,52900,98900,50%
343,Textile Technology,Bachelors,60400,98800,37%
344,Strategic Communication,Bachelors,52900,98700,42%
344,Technology,Bachelors,63200,98700,-
346,Environmental Science,Bachelors,55800,98600,61%
347,International Studies,Bachelors,56200,98500,50%
348,Cinema Studies,Bachelors,53200,98300,37%
349,Professional & Technical Writing,Bachelors,54800,98200,47%
350,Automotive Technology,Bachelors,55400,97800,52%
351,New Media Design,Bachelors,63100,97700,28%
351,Theatre & Drama Studies,Bachelors,53100,97700,50%
351,Information Systems Security,Bachelors,64800,97700,47%
354,Aviation Maintenance Technology,Bachelors,57300,97500,60%
354,Organizational Development,Bachelors,60800,97500,55%
356,Financial Management,Bachelors,62700,97400,53%
356,International Trade & Business,Bachelors,61500,97400,29%
356,Textile & Apparel Studies,Bachelors,53300,97400,25%
356,Toxicology,Bachelors,53900,97400,-
360,Construction Engineering Technology,Bachelors,63800,97200,60%
361,Advertising & Marketing,Bachelors,55200,97100,38%
361,English Literature,Bachelors,53800,97100,46%
363,Advertising & Promotion,Bachelors,53400,97000,46%
364,Agricultural Science,Bachelors,53800,96900,55%
364,Fashion Design,Bachelors,53900,96900,27%
364,Hydrology,Bachelors,53400,96900,-
367,Technical Management,Bachelors,72300,96800,66%
368,Electronics & Computer Technology,Bachelors,60500,96600,-
369,French Studies,Bachelors,59000,96500,58%
369,Magazine Journalism,Bachelors,54300,96500,37%
369,Management,Bachelors,58100,96500,49%
369,Sociology & Organizational Studies,Bachelors,61400,96500,55%
373,International Affairs,Bachelors,58300,96300,51%
373,Business Administration,Bachelors,60200,96300,51%
375,Finance & Marketing,Bachelors,67800,96200,41%
375,Land Surveying,Bachelors,58200,96200,56%
377,Journalism & Mass Communication,Bachelors,52800,96100,44%
378,Business Management,Bachelors,58700,95900,52%
378,Speech & Drama,Bachelors,45100,95900,-
380,Agribusiness Management,Bachelors,58700,95600,43%
380,Digital Media,Bachelors,52000,95600,38%
382,Drama,Bachelors,55600,95500,43%
382,Linguistics,Bachelors,58600,95500,42%
384,Architectural Engineering Technology,Bachelors,56800,95400,49%
384,General Science,Bachelors,56300,95400,58%
386,Pre-Medicine,Bachelors,57200,95300,69%
387,Business Administration & Accounting,Bachelors,59500,95200,54%
387,History & Politics,Bachelors,55300,95200,58%
387,Nursing Science,Bachelors,75600,95200,84%
390,Global Business,Bachelors,62000,95100,31%
390,Integrated Marketing Communications,Bachelors,53500,95100,38%
392,American History (United States),Bachelors,58900,94900,49%
393,Architectural Studies,Bachelors,50900,94800,38%
393,Communication,Bachelors,54800,94800,46%
393,Personnel Management,Bachelors,57900,94800,68%
396,General Business,Bachelors,56300,94700,51%
396,Interior Architecture,Bachelors,53500,94700,48%
396,Public Affairs,Bachelors,59400,94700,52%
396,Natural Sciences,Bachelors,49500,94700,54%
400,Writing,Bachelors,49900,94600,44%
401,Human Biology,Bachelors,57400,94500,72%
401,Marketing & Mass Communications,Bachelors,53700,94500,40%
401,Computer Art,Bachelors,44600,94500,33%
404,French Language,Bachelors,56100,94100,48%
404,Journalism,Bachelors,52300,94100,44%
406,Interpersonal & Organizational Communication,Bachelors,47500,94000,72%
406,Organizational Communication,Bachelors,52400,94000,48%
406,Textile Design,Bachelors,56200,94000,36%
409,Biology & Chemistry,Bachelors,55700,93900,66%
409,Nursing,Bachelors,73100,93900,82%
409,Public Relations & Communication,Bachelors,51700,93900,48%
412,Environmental & Natural Resource Economics,Bachelors,58600,93700,66%
413,Biology,Bachelors,53500,93600,65%
413,Environmental Management,Bachelors,57500,93600,63%
413,General & Strategic Management,Bachelors,56800,93600,52%
416,Bachelor in Science Nursing,Bachelors,73700,93400,80%
416,History,Bachelors,54300,93400,47%
418,Literature,Bachelors,53200,93300,45%
419,Law,Bachelors,59900,93200,51%
420,Physiology,Bachelors,55500,93100,66%
421,Entrepreneurial Studies,Bachelors,54800,93000,32%
421,Public Relations (PR),Bachelors,51800,93000,43%
421,Retail Management,Bachelors,60400,93000,39%
424,Computer Aided Drafting & Design (CADD),Bachelors,56300,92900,49%
424,Management & Organization,Bachelors,78600,92900,55%
424,Agriculture,Bachelors,53600,92900,62%
424,Music Technology,Bachelors,50900,92900,38%
428,Administration of Justice,Bachelors,51300,92800,53%
428,Publishing,Bachelors,52000,92800,40%
428,Urban Studies,Bachelors,57700,92800,60%
431,Media Studies,Bachelors,57000,92700,38%
432,Apparel & Textile Manufacture,Bachelors,54200,92600,31%
432,Philosophy & Religion,Bachelors,51300,92600,54%
434,Environmental Geography,Bachelors,55900,92500,54%
435,Communication Studies & Journalism,Bachelors,51200,92300,46%
435,Interpersonal Communications,Bachelors,50200,92300,48%
435,Logistics Management,Bachelors,66000,92300,38%
435,Retail & Consumer Science,Bachelors,58800,92300,27%
435,Web Design & Development,Bachelors,60100,92300,44%
440,Accounting & Business,Bachelors,58700,92200,49%
440,Architectural Technology,Bachelors,55700,92200,62%
440,Geographic Information Systems (GIS),Bachelors,56100,92200,53%
443,Environmental Studies,Bachelors,55000,92100,59%
443,Interactive Media,Bachelors,61300,92100,39%
445,Retail Merchandising,Bachelors,59000,91900,36%
446,Diagnostic Medical Sonography,Bachelors,71700,91800,86%
447,Agricultural Business,Bachelors,61400,91600,58%
447,Network Administration,Bachelors,54400,91600,54%
449,Environmental Biology,Bachelors,50500,91300,69%
449,Dental Hygiene,Bachelors,81200,91300,81%
451,Journalism & Electronic Media,Bachelors,51400,91200,46%
451,Web & Digital Media Development,Bachelors,60400,91200,35%
451,Workforce Education & Development,Bachelors,67100,91200,73%
454,Diagnostic Medical Ultrasound,Bachelors,73800,91100,71%
454,Health Policy & Administration,Bachelors,57300,91100,63%
456,Quality Management,Bachelors,66000,90800,62%
457,Bachelor of Science in Nursing,Bachelors,72000,90700,85%
457,Speech Communication,Bachelors,53300,90700,56%
459,Retailing,Bachelors,56700,90500,33%
459,Visual Effects & Motion Graphics,Bachelors,54100,90500,38%
461,Foreign Languages,Bachelors,55600,90300,54%
462,Landscape Architecture,Bachelors,58700,90200,65%
463,Global Studies,Bachelors,58100,90100,47%
464,American Sign Language Interpreting,Bachelors,49400,89900,87%
464,Spanish Language Teacher Education,Bachelors,55100,89900,-
466,Technical & Scientific Communication,Bachelors,57000,89800,35%
467,Broadcast & Cinematic Arts,Bachelors,48000,89700,41%
468,Computer Animation,Bachelors,52800,89600,41%
468,Geography,Bachelors,56200,89600,52%
470,Environmental Resource Management,Bachelors,54100,89500,64%
470,Fashion,Bachelors,54900,89500,39%
470,Film Studies,Bachelors,51000,89500,41%
470,Forestry,Bachelors,52800,89500,68%
474,Business Leadership,Bachelors,56800,89300,43%
474,Nursing Education,Bachelors,76300,89300,-
476,English Language,Bachelors,50900,89100,47%
477,Ancient History,Bachelors,51700,89000,-
477,Botany,Bachelors,48700,89000,71%
477,Geosciences,Bachelors,55100,89000,62%
480,Computer Aided Design (CAD),Bachelors,54700,88900,-
480,Digital Arts,Bachelors,50800,88900,36%
482,Leadership,Bachelors,53700,88700,55%
483,Automotive Technology & Service Management,Bachelors,59300,88600,29%
483,Business Management & Administration,Bachelors,58500,88600,53%
483,Business Management & Human Resources Management (HRM),Bachelors,54600,88600,-
483,Human Resources Management (HRM),Bachelors,54300,88600,55%
483,Radio/Television & Film Production,Bachelors,51200,88600,40%
488,Allied Health,Bachelors,49900,88500,77%
488,English Language & Literature,Bachelors,52200,88500,44%
490,Marine Biology,Bachelors,48500,88400,64%
490,Security Management,Bachelors,53900,88400,-
492,Organizational Leadership,Bachelors,56600,88300,57%
492,Public Administration,Bachelors,53000,88300,57%
494,Forestry Management,Bachelors,54600,88200,67%
494,Management (MGT),Bachelors,52300,88200,-
496,Merchandising Management,Bachelors,53500,88100,48%
497,Administrative Management,Bachelors,59100,88000,47%
497,Spanish Language,Bachelors,54300,88000,49%
497,Sports Management,Bachelors,51200,88000,43%
500,Arts Management,Bachelors,45200,87900,48%
500,Homeland Security,Bachelors,55300,87900,71%
500,Electronic Media,Bachelors,50700,87900,37%
503,3D Animation,Bachelors,56900,87800,42%
503,Film Production,Bachelors,50500,87800,37%
505,Marine Science,Bachelors,51800,87600,61%
506,Information & Communication Technology,Bachelors,53700,87500,54%
506,Mass Communication,Bachelors,50700,87500,45%
506,Museum Studies,Bachelors,42800,87500,37%
506,Technical Writing,Bachelors,63300,87500,37%
510,Religious Studies,Bachelors,50700,87400,52%
510,Travel Industry Management,Bachelors,58700,87400,-
512,Art History,Bachelors,53400,87200,44%
512,Fashion Merchandising,Bachelors,53300,87200,30%
512,Nuclear Medicine Technology,Bachelors,68800,87200,81%
515,Marketing & Advertising,Bachelors,55400,87100,45%
516,Musicology,Bachelors,48100,87000,-
517,Broadcast Journalism,Bachelors,49800,86800,52%
518,Animation,Bachelors,50900,86700,35%
519,Historic Preservation,Bachelors,48300,86600,-
519,Music Performance,Bachelors,51700,86600,56%
519,Organizational Leadership & Supervision,Bachelors,54600,86600,53%
522,Multimedia,Bachelors,50400,86500,45%
523,Business Technology,Bachelors,59200,86400,51%
523,Radiologic Science,Bachelors,64000,86400,80%
523,Human Nutrition,Bachelors,55100,86400,82%
523,Acting,Bachelors,50400,86400,48%
527,Liberal Arts,Bachelors,51400,86300,52%
528,Apparel Merchandising,Bachelors,53900,86200,34%
528,German Language & Literature,Bachelors,56400,86200,44%
528,Organizational Management,Bachelors,55500,86200,60%
531,Zoology,Bachelors,46800,86100,66%
532,Creative Writing,Bachelors,51200,85900,41%
533,Geomatics,Bachelors,57800,85800,67%
534,Law Enforcement,Bachelors,52800,85700,62%
535,Administration,Bachelors,49200,85600,59%
535,Cytotechnology,Bachelors,66800,85600,86%
535,Fashion Marketing & Management,Bachelors,54400,85600,27%
538,Applied Management,Bachelors,49800,85400,61%
538,Management & Leadership,Bachelors,59500,85400,56%
540,Human Resources (HR),Bachelors,53800,85300,55%
541,Animal Science & Management,Bachelors,51500,85200,61%
542,Adult Education & Training,Bachelors,55200,85100,78%
543,Agricultural Communication,Bachelors,51300,84900,49%
543,Health & Fitness,Bachelors,44100,84900,71%
545,Criminal Justice Administration,Bachelors,51900,84800,61%
545,Emergency Management,Bachelors,58100,84800,77%
545,Media Arts,Bachelors,51300,84800,33%
545,Sociology & Anthropology,Bachelors,51200,84800,53%
545,Radiology,Bachelors,62300,84800,81%
550,Communication Design,Bachelors,58500,84700,34%
550,Earth Science,Bachelors,56800,84700,52%
550,Modern Languages,Bachelors,57700,84700,55%
550,Training and Development,Bachelors,59600,84700,-
554,Hospital Administration,Bachelors,59800,84400,53%
554,Human Relations,Bachelors,51100,84400,63%
556,Natural Resources,Bachelors,54200,84300,58%
557,Ethnic Studies,Bachelors,54500,84200,62%
557,Hotel & Restaurant Management,Bachelors,54200,84200,49%
559,Broadcast Communication,Bachelors,45900,83800,45%
559,Mass Media,Bachelors,45800,83800,45%
561,Advertising & Graphic Design,Bachelors,53000,83700,39%
561,Radiologic Technology,Bachelors,62000,83700,81%
563,Merchandising,Bachelors,59300,83600,32%
563,Romance Languages,Bachelors,57400,83600,55%
565,Environmental Health Science,Bachelors,61500,83500,-
566,Criminology,Bachelors,50700,83400,54%
566,Psychology,Bachelors,51000,83400,56%
568,Cardiopulmonary Science,Bachelors,56500,83200,92%
568,Labor Studies,Bachelors,53700,83200,51%
570,Medical Laboratory Technology,Bachelors,64300,83000,83%
570,Visual Communications,Bachelors,51200,83000,34%
